,prediction
0,29.242015198903122
1,30.90236117594838
2,29.424523113652544
3,33.47708861018924
4,30.45883385963652
5,30.367486839307247
6,29.53801550194277
7,31.671911530130892
8,33.13997793445247
9,32.089769452789646
10,31.39776284472187
11,31.063327094611886
12,30.111931647650437
13,31.570113381701546
14,31.338920672340524
15,31.53692447132096
16,31.361420738603528
17,31.337808254007072
18,30.912293513299517
19,31.239548605593892
20,29.38179701805797
21,31.80165799917822
22,31.443072043785513
23,31.837412648721397
24,31.719752495915134
25,31.8564202643908
26,31.874005415128593
27,31.14281671723811
28,30.716804817731372
29,31.704359792699318
30,31.223139808072677
31,31.396997839378
32,31.321350018603788
33,31.82602342745278
34,31.79432046839385
35,31.74891767884883
36,31.659610708170522
37,31.703053862007152
38,31.480132180183816
39,29.4640803487537
40,33.659548135045924
41,31.052770491012648
42,33.37115212353741
43,31.254399552173574
44,30.99243310721557
45,30.375484216914213
46,31.004236535803358
47,30.66486870732826
48,33.65367003756728
49,32.91859685052373
50,29.17303361199273
51,31.559188849373317
52,29.589075179282023
53,29.217948847064516
54,31.151155848860363
55,29.617435567237344
56,30.816371867011334
57,29.084470436122082
58,30.07340894720246
59,29.071509896647132
60,29.189776645545265
61,29.093113003315455
62,30.470365738567367
63,30.53099500654359
64,33.55563211561091
65,30.070675493557555
66,29.37709668045378
67,30.079685606068825
68,30.183733664886326
69,29.06999836346644
70,29.597109456177535
71,29.052272156366065
72,29.119510708607663
73,30.07397943183383
74,29.122906246907444
75,29.718213191123397
76,29.418668910576656
77,29.04915739922164
78,29.459467544402063
79,30.089401827169354
80,29.60988503850639
81,29.90066760279461
82,29.25832443599388
83,30.371243056404992
84,29.787785630971698
85,29.558688767558074
86,29.885215610927084
87,33.35305589161806
88,29.756979266048326
89,29.936601332550747
90,29.049364089318345
91,29.641878217481704
92,30.03363372275921
93,29.65958938327122
94,30.062411876480308
95,29.06311734857473
96,29.933196437941014
97,29.842061494859106
98,29.05343592492139
99,29.085806440782797
100,29.73327256311398
101,29.277372612298354
102,29.12342962927207
103,29.590135008875155
104,30.102375248519067
105,30.297436821736063
106,31.314388652637934
107,29.883957485295088
108,31.415657185894805
109,30.835394633032074
110,30.40863081081119
111,31.594916692878332
112,31.074192543912847
113,31.14060244526399
114,31.182014147407017
115,31.730435288999804
116,31.611006444544895
117,31.582746397696063
118,31.47754771002946
119,31.341954301229148
120,31.057678016634533
121,31.552677976019357
122,31.450711328995403
123,31.661430110671844
124,31.62704326619736
125,31.599062139099363
126,31.386550932727204
127,31.43050100129649
128,30.219417266895853
129,31.197154422598317
130,31.898369722226803
131,31.8930613430811
132,31.878600029956242
133,31.37840233100583
134,31.330634395144124
135,31.847583690534904
136,31.595299136136976
137,31.56999260986211
138,31.53645888260076
139,31.83787932946847
140,31.79515284575552
141,31.767682415318145
142,31.721882183863446
143,31.647512405600892
144,31.62252835201451
145,31.82872663292936
146,31.76169927622845
147,31.82208608285507
148,31.80129029162789
149,31.76590938772954
150,31.498452031642366
151,31.807872403014258
152,31.1323644284325
153,31.897934743975622
154,31.707516863208696
155,31.830469610854326
156,30.252974381376827
157,29.82344998918404
158,31.649617317881226
159,30.985714322776396
160,30.693195015199464
161,30.351594044509216
162,31.733961532975144
163,31.66080633437825
164,31.551802136128767
165,31.49091514736451
166,30.954415203719567
167,31.645092027258574
168,31.583627941295465
169,31.685033118156706
170,31.66226652417367
171,31.682074917255164
172,31.558928500304518
173,31.546694477992055
174,30.431512019368657
175,31.60332514971977
176,30.079051058346288
177,31.874940269572498
178,31.93094870561466
179,31.869749309191192
180,30.027854093513003
181,29.945772158776432
182,31.41162057522045
183,31.12396762694462
184,30.868523032121594
185,30.187899055199367
186,31.476407801058706
187,31.23934098024701
188,31.307750025527437
189,31.206137516595952
190,31.14201907672253
191,30.91485252043781
192,31.371530378874642
193,31.418360541915362
194,31.587123117215096
195,31.48619444893406
196,31.45189339185313
197,30.509395515324098
198,31.414431875245377
199,29.958236636430787
200,31.702184138598852
201,30.72595621693082
202,31.55386363279686
203,31.912374554933518
204,31.803554303393494
205,31.8674783523272
206,29.65308960393047
207,29.461230802850057
208,31.617332522609477
209,30.74533664575733
210,30.450917382511854
211,29.70825865598248
212,31.618633868436028
213,31.375260212689373
214,31.259826499867334
215,31.0386179189207
216,30.6728875015585
217,30.137162606083585
218,31.56126273041237
219,31.26299628848168
220,31.483803921710695
221,31.261330220295687
222,31.11420205086634
223,30.125707056778314
224,31.16243405233943
225,29.05577860430718
226,31.795230949891266
227,31.2416942589064
228,31.830342513233898
229,31.88739788229087
230,31.825117389232833
231,31.86001145504457
232,30.222522482300146
233,29.878173965245086
234,31.726709261076547
235,30.966159584627327
236,30.991167198895962
237,30.090892119505757
238,31.719886550344416
239,31.636493009557256
240,31.522675398523493
241,31.221254961656495
242,30.963888639581754
243,30.437146590997937
244,31.697485003646896
245,31.492533078229783
246,31.638237978620463
247,31.535472949711007
248,31.39542654786287
249,30.386083373489377
250,31.26246596322622
251,29.34795502064454
252,31.665063126643563
253,31.548830955884682
254,31.833640887952516
255,31.851030735749433
256,31.914101992280948
257,31.237225964790184
258,31.098250996758026
259,31.761208730914014
260,31.450282528972604
261,31.54401238329425
262,31.404729527976013
263,31.793471259975554
264,31.771477059604337
265,31.764911454445535
266,31.6846412524096
267,31.589080600361292
268,31.408777326130718
269,31.798676154815833
270,31.695857250733223
271,31.76341300370845
272,31.744970808991372
273,31.734704695209384
274,31.528887347612763
275,31.67291101834182
276,30.86134490103546
277,31.7049264628927
278,31.810187203022355
279,31.859582958850524
280,31.888851292792143
281,31.305921415139373
282,31.08442797711322
283,31.81514182596276
284,31.591735828511077
285,31.63201960135841
286,31.1501315269709
287,31.817465279229527
288,31.701231827351414
289,31.70649914900588
290,31.65892524218686
291,31.609671787999293
292,31.517417257482776
293,31.775456465324197
294,31.72789730740787
295,31.822790482846965
296,31.79854171976383
297,31.75613251543769
298,31.395167953703723
299,31.617754294836104
300,31.411889151969238
301,31.13018389645863
302,31.850106699437134
303,31.87859379812238
304,31.89618809150859
305,29.335652275439912
306,30.16917374565018
307,30.60243614228757
308,29.0881244768744
309,29.113097755217396
310,29.090544812288208
311,31.208244923676613
312,30.706161353739237
313,30.614757286816193
314,30.091093222958662
315,29.582094976531955
316,29.20034793404021
317,30.67423303615655
318,29.70676972284356
319,30.520167598154966
320,30.299725353481836
321,30.42659517533603
322,29.612540034988825
323,29.81927188772493
324,31.852170469096045
325,30.596034691264414
326,30.485960218415972
327,31.75598975112546
328,31.74685487073211
329,31.74107150905086
330,31.837784523100673
331,31.08025473628313
332,30.77740456060926
333,31.681235280147128
334,31.354318755829006
335,29.109282743034218
336,31.39832669398608
337,31.22467687997689
338,31.76418161573877
339,31.719325061357036
340,31.702610928390595
341,31.608857597041812
342,31.522863230471273
343,31.165678379917495
344,31.699864363295628
345,31.566650295182193
346,31.73704276383411
347,31.668176605056072
348,31.67921990966323
349,31.440353030574126
350,31.59510409614171
351,30.687922485613914
352,31.3940296237067
353,29.70991855884552
354,31.835751798251493
355,31.89845881540702
356,31.89137812755576
357,30.496479072024506
358,30.335243094603204
359,31.786556551403258
360,31.092751607490897
361,31.053512283401066
362,30.62896713069816
363,31.726617047522296
364,31.58903463544991
365,31.549354094015033
366,31.44087103439826
367,31.19527797441979
368,30.855970627259847
369,31.62587201566662
370,31.48104406894491
371,31.608810415500137
372,31.50170727840401
373,31.436538048552777
374,30.947785599831647
375,31.638194762453743
376,30.91886304490027
377,31.923761369742742
378,31.68592776952592
379,30.946782830845457
380,31.79231188233384
381,31.171422115487495
382,31.07660855518157
383,29.38353453574373
384,30.796873273704776
385,31.78715086849216
386,31.3491071666106
387,31.29566690839519
388,31.262765693349518
389,31.80064110961812
390,31.74312688259524
391,31.71051208201565
392,31.62413763482615
393,31.511278164969347
394,31.14452533616785
395,31.6979958573218
396,31.59172661063224
397,31.696140977890693
398,31.65387619220089
399,31.5764384002009
400,31.48728179121691
401,31.735042995834906
402,30.242207514028966
403,31.828242994178712
404,31.8661858606028
405,31.877960601390736
406,31.103872572956814
407,30.888263288293874
408,31.775177327472054
409,31.482942462397148
410,31.373361876140137
411,31.161613536172602
412,31.753007657963355
413,31.69695773523018
414,31.673005153993806
415,31.633336047353154
416,31.54772625350386
417,31.310265385321067
418,31.730751580119808
419,31.628476142261253
420,31.74235001985457
421,31.678458646951285
422,31.640946653265118
423,31.302012952770365
424,31.777511448471078
425,30.631808172326572
426,31.67505170519369
427,31.737127428376002
428,31.83413039276972
429,31.888166642185254
430,30.230349895530168
431,29.76761989512616
432,31.57370942348928
433,30.53494973023993
434,30.87720662927719
435,30.57367803153559
436,31.71550611796075
437,31.610817310996985
438,31.499888722202794
439,31.27681421746481
440,30.965773090149398
441,30.298521477839472
442,31.540572129384643
443,31.20562628771325
444,31.462150031310003
445,31.332253973161887
446,31.32442101765421
447,30.90263613354309
448,31.41757268346891
449,29.19803645581927
450,31.632985722544962
451,31.800439051579243
452,31.86977969022367
453,31.882671028287874
454,31.84315451072537
455,30.703836783037485
456,30.5051604675392
457,31.785265213043456
458,31.017803888121215
459,31.131346900865314
460,31.05460234655362
461,31.744496839400412
462,31.671273126243364
463,31.642074936149687
464,31.53272454657017
465,31.317049446859237
466,30.905649623254668
467,31.720702643773276
468,31.548978070496826
469,31.66416246519028
470,31.549531784670286
471,31.47237927106983
472,31.17916572496867
473,31.55287567969317
474,29.718065053089788
475,31.88102226012802
476,31.851154641658702
477,31.87877138060033
478,31.467245621989044
479,30.033752809578086
480,29.770285056254856
481,31.71352307966283
482,30.697918216607693
483,30.63129388901538
484,30.31995149136706
485,31.638462405835202
486,31.447664526823406
487,31.412033772452414
488,31.23755832994567
489,30.95711076945233
490,30.409972661996257
491,31.61597665532248
492,31.33839549399623
493,29.043094737385356
494,31.29659200246955
495,31.239286495014717
496,30.730869433902793
497,31.256950787229087
498,29.124018368037504
499,31.7541196839557
500,31.730174038506537
501,31.861215971639513
502,31.859017553192658
503,31.859234106041995
504,30.354373314778634
505,29.86836636164858
506,31.55083376683962
507,30.69731978250601
508,30.824739273007438
509,30.74889476300164
510,31.642813361391735
511,31.53061891044777
512,31.463697292940473
513,31.259154513581816
514,31.017339990766867
515,30.69023819282905
516,31.46796629338261
517,31.362172102747465
518,31.55564823508104
519,31.43994105079301
520,31.40130851517919
521,31.054604970807652
522,31.20071654796121
523,29.28469439451199
524,31.57463652999661
525,31.875722155532483
526,31.885127696241785
527,31.85150442419423
528,31.15463428047368
529,30.709666877746166
530,31.686179355409266
531,31.251004770478193
532,31.395994427541805
533,31.326871041203567
534,31.812372440949463
535,31.75907956587379
536,31.70482398127109
537,31.622174970130065
538,31.464887346449274
539,31.120484767021612
540,31.669306268653564
541,31.561060098681768
542,31.72401212356725
543,31.659692784339583
544,31.67773720618667
545,31.47585365961726
546,31.628705657582362
547,30.594357962516604
548,31.44101180388074
549,31.871743862143724
550,31.893033153050006
551,31.88627401810611
552,30.311686296338422
553,29.914866362932337
554,31.720600682029012
555,30.76373987357678
556,30.88736751224594
557,30.48157591000297
558,31.751867106962273
559,31.60284828942941
560,31.546739411268682
561,31.286979113737488
562,30.986091473864047
563,30.47751269106671
564,31.511404788331234
565,31.28906685336063
566,31.484783421248668
567,31.35652751407013
568,31.289348735176663
569,30.947332599201886
570,31.615955216741646
571,29.173983748648727
572,30.416579436584133
573,31.88757669178838
574,31.83962039464559
575,31.877585397495213
576,29.48907503471971
577,29.10881393692204
578,31.545402535619015
579,30.22611102518536
580,30.425476061535
581,29.39871957635096
582,31.606178401065105
583,31.373765836900567
584,31.18947797583801
585,30.76975071684552
586,29.70957047429297
587,31.501314104374362
588,31.198151941968433
589,31.46449802176614
590,31.242348352390746
591,31.043610455279776
592,29.670073166258803
593,30.808866520503837
594,29.05015293994267
595,30.53165415556885
596,31.699138213608563
597,31.754806745812324
598,31.87199830756173
599,31.797249166983143
600,31.84147821465034
601,30.48449721721942
602,30.42600180138402
603,31.733806741075654
604,31.237006292290992
605,31.224904583420788
606,30.496779746330194
607,31.687586171202646
608,31.557016065672144
609,31.58032029751353
610,31.420559249483862
611,31.262061070137957
612,30.956173301853532
613,31.693581127521558
614,31.742678585836316
615,31.702374197285557
616,31.607631129525075
617,31.558789020124077
618,30.84280829057169
619,31.218925588270235
620,29.777926099713774
621,31.75416813715166
622,31.679478936096142
623,31.82418823386266
624,31.869183074341
625,31.961089576349824
626,29.996098047254673
627,29.752234737442148
628,31.658671985574976
629,30.703580669632615
630,30.55689979595986
631,30.352502824361586
632,31.5697719262418
633,31.443162298782905
634,31.39520387926886
635,31.186719925703656
636,30.93968218924445
637,30.46960552028925
638,31.52433834547889
639,31.29017129997792
640,31.480287939428006
641,31.30587003510752
642,31.264844808445513
643,30.7614422657654
644,31.239159092301637
645,29.184890525227104
646,31.45297592636625
647,31.803853668145727
648,31.863577775455926
649,31.85629203229944
650,31.80871271621225
651,29.403146768726383
652,29.348366639620053
653,31.649990222273566
654,30.4428050831067
655,30.124703924130806
656,29.700088055184146
657,31.45488086698735
658,31.178700622220568
659,31.10424904482918
660,30.884478733389724
661,30.59310712476013
662,30.184835705727288
663,31.570205731833973
664,31.173551638201896
665,31.362136255681083
666,29.4417817641329
667,31.09712117264505
668,30.938994029218517
669,29.98767079265215
670,31.1887192569612
671,29.190919469058343
672,31.743564963700084
673,31.7006562075536
674,31.805713769375544
675,31.858446332895436
676,31.851353004728345
677,31.150871466888322
678,30.732672040262198
679,31.66342300176781
680,31.269807911193276
681,31.39829940632745
682,31.35241839422321
683,31.807129282678314
684,31.709842657582705
685,31.661264258135343
686,31.60509844867229
687,31.47930444294439
688,31.24257089654396
689,31.620587494437753
690,31.508139658771036
691,31.705987429219835
692,31.69574048186832
693,31.726025533778447
694,31.616147484442116
695,31.552204285526404
696,30.76932211837315
697,31.18410123769199
698,31.911397170972403
699,30.09842361975159
700,30.758876648701534
701,30.47069902729311
702,31.67160035921971
703,31.051106597217036
704,31.166334741757066
705,31.098174797340757
706,31.76437213045524
707,31.69987707431641
708,31.653583638297853
709,31.52928133589628
710,31.34954839150251
711,30.834785880182196
712,31.62465727671505
713,31.505543508162685
714,31.659007331618163
715,31.57380854944579
716,31.55882290683282
717,31.336060574178507
718,31.450360950684917
719,29.893489297885434
720,31.669105335096855
721,31.860193790901565
722,31.890475206869397
723,31.903961556874798
724,31.865235930788103
725,30.885908414853656
726,30.75502074542263
727,31.77948697738186
728,31.24988942995661
729,31.24859674924038
730,31.17446908203613
731,31.795062713693458
732,31.705094550933502
733,31.677240137774962
734,31.64343033386205
735,31.403091138071538
736,31.064986334195304
737,31.7181619019382
738,31.5519415025777
739,31.66550568162323
740,31.620269863973416
741,31.57931613566739
742,31.48283654339897
743,31.579745162653325
744,29.599202691757576
745,30.182029739269737
746,31.879600690833577
747,31.67174038156047
748,31.880178884977674
749,31.939244940430104
750,29.656798138632105
751,29.358172177226397
752,31.589805710880103
753,30.121155399495464
754,30.250227088113228
755,30.27946177322251
756,31.55116571388723
757,31.28215119158229
758,31.250153012828722
759,31.072344251527973
760,30.72531810399154
761,30.040417429202034
762,31.49105009154827
763,31.069192373219064
764,31.265134354593748
765,31.050529861024557
766,30.97218086036179
767,30.520020433071288
768,31.33295765242722
769,29.111284234665792
770,31.840653244702715
771,31.64722657570707
772,31.86623221199805
773,31.87943735455313
774,31.90322089933427
775,31.178497409290014
776,31.039574640864288
777,31.80332192997545
778,31.46182386029643
779,31.425162040783235
780,31.369812820613934
781,31.781654072384534
782,31.744333130810727
783,31.731521560054475
784,31.676058016227483
785,31.58353811751609
786,31.368290283948706
787,31.795100544700166
788,31.688431996654984
789,31.751781404679882
790,31.729944731332818
791,31.701328238225546
792,31.49389961967082
793,31.6462684739727
794,30.82112406479319
795,31.875007448906224
796,31.669985719240245
797,31.849788472947623
798,31.902702917697255
799,31.867771248922892
800,31.951251017981303
801,30.84624413962699
802,30.64186539443541
803,31.785066347628565
804,31.277767604658894
805,31.29663402720986
806,30.91793325859287
807,31.802420409714752
808,31.734281872593513
809,31.70819013368652
810,31.5002082114505
811,31.35708540439021
812,31.01446089468106
813,31.752452562005494
814,31.618340272438484
815,31.719353831315203
816,31.622896179393823
817,31.586227121608676
818,31.174489979557883
819,31.5278762264175
820,29.901262764961633
821,31.910296573262695
822,31.879088859010103
823,31.898819474124622
824,30.710039823217784
825,30.440227405350903
826,31.715834380539334
827,31.17553631383489
828,31.25987649072536
829,30.7730796033188
830,31.758038305790606
831,31.6569856817067
832,31.60009311793361
833,31.451484643534386
834,31.26333405648189
835,31.002885846978
836,31.74290406118044
837,31.522166897460455
838,31.697649963515335
839,31.65905843743988
840,31.589026686994156
841,30.958314566102526
842,31.47275562348034
843,30.169563981629523
844,31.590024499110644
845,31.57057618403906
846,31.809709981707616
847,31.882901638660513
848,30.929936156930363
849,30.691771011309232
850,31.661636581753793
851,31.30998059616367
852,31.278044976103434
853,31.176082450563598
854,31.79067483039352
855,31.708350582585407
856,31.670892293755525
857,31.57961964655837
858,31.399247815958855
859,31.110057207537004
860,31.61755383548424
861,31.46757461800234
862,31.6903701887636
863,31.635973637454956
864,31.651238614522057
865,31.450701265577692
866,31.660111696726602
867,30.74421159431017
868,31.872359802700494
869,31.218544995967484
870,31.701047095756532
871,31.914025648358038
872,29.28730678229337
873,29.766981162942432
874,30.862796554384627
875,29.16713172429691
876,29.31118607516628
877,29.047535277653107
878,31.20620605159391
879,30.60820804836159
880,30.58735258095224
881,29.994218928059375
882,29.483687828262404
883,29.06832898176166
884,30.676673010735946
885,30.035623160527127
886,30.706074334143736
887,30.405625008785943
888,30.25101340405067
889,29.24314669400627
890,30.568023414518137
891,32.20482512583731
892,31.28259688720737
893,31.067436276591295
894,31.657423339703705
895,31.88106781246435
896,31.82046192731715
897,31.742632600827502
898,30.795678517206557
899,30.6465051625772
900,31.64436978930842
901,31.249663890139388
902,31.20732437353456
903,31.117548136995392
904,31.720992773613492
905,31.59896988320324
906,31.576877425544655
907,31.510732653289683
908,31.432621846677087
909,31.195879686360406
910,31.678712002677322
911,31.49916556699489
912,31.668776053340476
913,31.617769682851897
914,31.594028675877908
915,31.359965474698978
916,31.525509745820827
917,30.33696863749323
918,31.439274904610436
919,31.763443700021668
920,31.891805555338937
921,31.893384076088143
922,31.855276851532626
923,30.90938140862716
924,30.776292956923513
925,31.80121291895483
926,31.287655212728804
927,31.202663812977043
928,31.206200005235143
929,31.78710499581241
930,31.69624114275703
931,31.697544388538766
932,31.60532108647473
933,31.408935702344937
934,31.131767992344884
935,31.77928220223303
936,31.65182408270849
937,31.69021417997026
938,31.606143364541804
939,31.55411812647437
940,31.216942455484794
941,31.711041461848104
942,30.067370856002682
943,31.857344921925925
944,31.847802682743087
945,31.877464104712423
946,30.058968709057464
947,29.616258269488224
948,31.576678092295843
949,30.325619432639325
950,30.693036104202594
951,30.54601711380383
952,31.68499582140888
953,31.527067831203105
954,31.43405983012508
955,31.211165906188796
956,30.840957040500307
957,30.228290383270277
958,31.5067744302305
959,31.116282354192414
960,31.399087198212232
961,31.31413340793655
962,31.26080698543974
963,30.864976474859144
964,31.26632598297707
965,29.088256087586927
966,31.599803730130937
967,31.833281465361875
968,31.853378532616116
969,31.851345797289447
970,31.8352000510338
971,30.84452972945965
972,30.438130331414165
973,31.72903394438034
974,31.13642528976696
975,31.081971558489073
976,31.111216185038227
977,31.788713757445983
978,31.668864690902225
979,31.64225049333518
980,31.54539673889595
981,31.363720311571623
982,30.87490589481765
983,31.671155136886302
984,31.48745889746168
985,31.64907294725843
986,31.567616744763047
987,31.581240052696792
988,31.3602032373087
989,31.45939073781663
990,30.045314350046848
991,31.78076964493746
992,31.81132592290268
993,31.871210280674056
994,31.627039818737863
995,31.737111302206657
996,31.782138393504393
997,30.992878311706214
998,30.815988792347788
999,31.79524029059795
1000,31.428120329758944
1001,31.289689707136596
1002,31.093175300484017
1003,31.73282261975223
1004,31.665914628126252
1005,31.644836509523376
1006,31.59118457797563
1007,31.518100397261573
1008,31.259992229710548
1009,31.76233331307289
1010,31.726982836116818
1011,31.663535587492856
1012,31.625092879390166
1013,31.334733589201647
1014,31.59729562831884
1015,30.308460186406407
1016,31.795883588919022
1017,31.89045109480751
1018,31.799588325033092
1019,30.713009766310737
1020,30.58796088152658
1021,31.760254540628527
1022,31.111409688573676
1023,31.30477809621577
1024,30.90582097954294
1025,31.679695294966365
1026,31.582393667096653
1027,31.592688372069926
1028,31.47218237353799
1029,31.34583598415372
1030,31.205481523982463
1031,31.68265835999424
1032,31.541369986026726
1033,31.675638393901814
1034,31.587198976515367
1035,31.519666797974406
1036,31.144755001037293
1037,31.63899470180285
1038,29.963571928931014
1039,31.69670331930407
1040,31.81555411594914
1041,31.82989951307381
1042,31.89489207308553
1043,31.072089220014483
1044,30.780795819207682
1045,31.781857924394295
1046,31.397595740262236
1047,31.41294968686719
1048,31.087313248955567
1049,31.805622334451552
1050,31.759258698836824
1051,31.710775290161248
1052,31.567326448187373
1053,31.414401126743904
1054,31.24913834587665
1055,31.759554270119583
1056,31.646097385786717
1057,31.768016264239847
1058,31.695247344101656
1059,31.665605937381585
1060,31.29785538591674
1061,31.59274553992175
1062,30.32645050999897
1063,31.860116235783526
1064,31.781246082677267
1065,31.926630101830632
1066,31.867887198061677
1067,30.221798665697495
1068,29.728054011247476
1069,31.443220061724848
1070,30.655245385073787
1071,30.777217623961683
1072,30.596260669898022
1073,31.70013482980594
1074,31.555139901296258
1075,31.501021344548608
1076,31.258558474307065
1077,30.997106501475784
1078,30.28624289222886
1079,31.442488304768435
1080,31.21162257862436
1081,31.48956254304836
1082,31.381989380581164
1083,31.352846910174804
1084,31.0147969851783
1085,31.214865133930047
1086,29.546953195591993
1087,30.80546004393033
1088,31.848617281758806
1089,31.860309263253352
1090,31.87464182976183
1091,31.83700980795135
1092,31.912679722163066
1093,30.949080000090973
1094,30.736575620757954
1095,31.802035224995347
1096,31.32186535565332
1097,31.225804314862394
1098,31.14768951278261
1099,31.788899646206083
1100,31.716258440213714
1101,31.66658761574304
1102,31.596599757542066
1103,31.431923541547086
1104,31.13420320760177
1105,31.78626146288957
1106,31.65792499940855
1107,31.71214428747911
1108,31.60225864562255
1109,31.563688524817167
1110,31.352895458404582
1111,31.586817845911575
1112,30.156841803477125
1113,31.91962322052251
1114,31.71755292159364
1115,31.903150872176358
1116,30.9084777045863
1117,30.65169776730079
1118,31.66196401092138
1119,31.16065747244448
1120,31.309793848282016
1121,31.210163304632715
1122,31.753310464910975
1123,31.678605429564577
1124,31.662054408525005
1125,31.53421476661084
1126,31.401261906531317
1127,31.124833281636448
1128,31.659033296342002
1129,31.51978489225803
1130,31.675446213599137
1131,31.59210742123199
1132,31.639007055234497
1133,31.43988345429003
1134,31.54213283401239
1135,30.168313240419675
1136,31.620721591767058
1137,31.842069251643636
1138,31.854346062519188
1139,30.181247623174755
1140,29.682974296147467
1141,31.449020690234715
1142,30.80992958327274
1143,30.8015718430541
1144,30.329735405689824
1145,31.67714721757153
1146,31.46634627853913
1147,31.432644842482002
1148,31.288537823315522
1149,31.05737652086414
1150,30.259799526288703
1151,31.462825827375866
1152,31.260676275239717
1153,31.505122466641396
1154,31.368580775901584
1155,31.301226258929994
1156,30.737691511137104
1157,31.367734122487445
1158,29.52602170532489
1159,31.549724998665354
1160,31.00264252062612
1161,31.850932532666477
1162,31.885448911485156
1163,31.877862094163977
1164,30.095248894099218
1165,29.96724779317751
1166,31.7308654115309
1167,30.89434486209938
1168,30.59125784495942
1169,30.462890271089876
1170,31.563835711885872
1171,31.393214169939583
1172,31.228900774835044
1173,31.30155074282256
1174,31.178578295555162
1175,30.749759654643714
1176,31.703587200584373
1177,31.47603383430537
1178,31.591175138312963
1179,31.403079361407602
1180,31.230408690198043
1181,30.617793132990354
1182,31.293304918271186
1183,29.19005541658891
1184,31.884039931376158
1185,31.680397249727555
1186,31.869812098048936
1187,31.868196554287646
1188,31.875545615604096
1189,30.810370639595305
1190,30.59765415449458
1191,31.791668685448474
1192,31.207307939856143
1193,31.334053083151513
1194,30.862953502715207
1195,31.783071431796625
1196,31.69828831270429
1197,31.647671246896245
1198,31.490983162657294
1199,31.288993485811027
1200,31.09196265654673
1201,31.711192564797827
1202,31.592132082187184
1203,31.713315001365377
1204,31.587943047510024
1205,31.536173804729586
1206,31.22821324766869
1207,31.54085480507955
1208,29.85877671309909
1209,31.88837365811576
1210,31.855229110892964
1211,31.862769318818525
1212,31.92312575889392
1213,30.46442875720248
1214,30.170334858059878
1215,31.64027747197448
1216,31.03657407519407
1217,31.078491553819397
1218,30.590237876967247
1219,31.686942893915784
1220,31.54462213661179
1221,31.53993714239768
1222,31.3355235386602
1223,31.193064184160253
1224,30.837260555059537
1225,31.67901512699185
1226,31.429539843279148
1227,31.628552078201555
1228,31.51081343224927
1229,31.4756206089729
1230,30.831627697464103
1231,31.469797974344058
1232,29.742660980990067
1233,31.38378927220385
1234,31.763663452091873
1235,31.853987541293964
1236,31.885283072139135
1237,31.85391819586205
1238,29.727961011608635
1239,29.531803965887093
1240,31.63469889308773
1241,30.77206463692888
