,prediction
0,35.56104789992544
1,41.522785811026594
2,29.51507932342436
3,34.89935751526704
4,34.5565708604937
5,35.374567637410856
6,37.17055676028566
7,25.563382899382617
8,33.756593015291244
9,36.006084151813425
10,37.60930206680607
11,39.17799647875924
12,38.812414307293544
13,34.610200703443795
14,30.72362860489139
15,33.96544184230418
16,35.29359919659865
17,36.431587111596784
18,37.97748600685759
19,28.82907906168368
20,36.647153836171306
21,25.106852164955402
22,32.923839531247125
23,21.60974516275695
24,30.183294157258235
25,30.256030340118947
26,31.375999323402382
27,38.0315428020017
28,26.876783546550122
29,28.21406711860589
30,33.62634436431258
31,31.995127395455924
32,34.2085806685487
33,18.652972608191646
34,31.619565101840912
35,28.85404939476785
36,37.926691436301226
37,37.450820858155495
38,37.91756521853993
39,39.362301924882004
40,30.458121214148516
41,33.44984422394731
42,35.81960388929884
43,35.232591000085066
44,37.43757851141845
45,38.54430514796485
46,32.93859623837409
47,35.86779669126938
48,33.89010389085764
49,37.10434502660042
50,31.623681230816658
51,30.41796722174336
52,32.49095821790027
53,31.864218288475357
54,37.076345972736405
55,34.015149004664636
56,35.31899648187684
57,34.424147393123214
58,32.57996546827787
59,36.25986355620917
60,36.12635268064277
61,36.086625640431635
62,37.51443082325491
63,30.939195329465903
64,36.06860670871693
65,34.49991229676377
66,33.97064537947584
67,37.278670350573876
68,33.53516229754317
69,34.96188007217054
70,36.93588369580054
71,35.80636154256179
72,35.15313691966278
73,33.833445327127706
74,35.50438933619551
75,34.88611516852999
76,36.93588369580054
77,35.29511355698857
78,37.32208656756676
79,34.17992115868278
80,35.771411087328296
81,37.45190826635141
82,36.86011879215998
83,36.63868807441191
84,37.15840182174453
85,36.6916574613601
86,36.7806647117377
87,35.55735872314371
88,35.25538651677742
89,36.39815101675322
90,35.019626044096384
91,36.20689416926098
92,34.015149004664636
93,35.344393767155026
94,37.278670350573876
95,35.370878460629115
96,37.50118847651787
97,33.93091833926469
98,34.90891068522234
99,35.281871210251516
100,34.86440706003354
101,36.74462684830829
102,35.10385670949633
103,33.485882087376716
104,35.71366511540245
105,36.74093767152655
106,36.235553679126895
107,36.033656253483436
108,32.61709073990318
109,38.39495015707557
110,29.57868928852377
111,28.460895121632152
112,34.0029940661235
113,34.01623641286055
114,37.83073278455415
115,28.212979710409975
116,30.99911611778357
117,32.12386168604466
118,33.89705529222711
119,35.33701541359154
120,39.346457809559126
121,26.55787981666505
122,28.446565366699197
123,31.537936205026803
124,35.858903977315975
125,41.47307864866613
126,37.29777669048448
127,33.883812945490064
128,35.260163101755076
129,30.55776904267733
130,36.65911532632633
131,34.14737902364901
132,32.40913587270005
133,38.329825831586234
134,31.594594768756735
135,30.335484420541235
136,32.6181781480991
137,34.23615277021871
138,41.975860872479956
139,31.08769641596716
140,31.28633161702288
141,32.856113437171956
142,35.54477683240856
143,42.13694384971636
144,37.95795271475298
145,34.12718527554249
146,25.21756752382944
147,33.270975818804104
148,33.927889618484855
149,37.363561471975714
150,38.952876584229415
151,31.194722598059457
152,38.74251339682656
153,37.775395132828024
154,23.184730520077686
155,18.781706898780385
156,39.57744169726251
157,28.894203387173004
158,31.676223665570845
159,32.85176380438831
160,35.85672916092416
161,34.8426989515371
162,19.46770716052107
163,31.226410828705212
164,35.65809395986843
165,35.018111683706465
166,37.84875171626885
167,19.472483745498725
168,37.66075709336435
169,31.02777562764949
