,prediction
0,35.22941140973823
1,41.10870707247955
2,29.28706880167117
3,34.59770640679832
4,34.21748148944359
5,35.02099999999999
6,36.844740030410705
7,25.423002850294253
8,33.45836925555019
9,35.63574985381179
10,37.57777467862188
11,39.083851303046444
12,38.575096804898514
13,34.70693920272377
14,30.847560442141436
15,34.06774577802627
16,35.34652177453432
17,36.441282290292484
18,37.85954523162791
19,28.907269743177945
20,36.480707727900615
21,25.217224392000563
22,32.953495607262965
23,21.323067926749374
24,30.324424626109362
25,30.084736782404143
26,31.41912172747647
27,37.99700651308698
28,26.944922885898162
29,28.427395581899482
30,33.71531259901712
31,32.07559000317483
32,34.228296520415704
33,18.212548296308576
34,31.82718740206552
35,29.02054954274978
36,38.0350025174289
37,37.09335931769967
38,37.60050260089153
39,38.94580180015299
40,30.287737946822936
41,33.218073105563924
42,35.51119513287029
43,34.93797649368993
44,37.09182627699869
45,38.101102039884864
46,32.70235308044746
47,35.50149329236463
48,33.623768244499324
49,36.8321774356762
50,31.513418695407537
51,30.5174036856578
52,32.366188311923786
53,31.807749473809444
54,37.07868894757482
55,33.87225332074491
56,35.23639722787872
57,34.238217741504364
58,32.491651396494106
59,35.942464827587735
60,35.888571286713216
61,35.8107952971656
62,37.31940297883857
63,30.868241044124776
64,35.831515991827324
65,34.32357950544323
66,33.79249478772673
67,37.064218446296515
68,33.39514860654906
69,34.72025543985512
70,36.69135983830973
71,35.523314600229135
72,34.91943834914973
73,33.72107953575748
74,35.30263943629366
75,34.62729209527339
76,36.69477623675059
77,35.03970593993729
78,36.993991810897214
79,34.05689590220207
80,35.57544865247215
81,37.22364527134863
82,36.61406024924694
83,36.50286417756817
84,36.93012233892444
85,36.51015052614961
86,36.574016258374265
87,35.25471347599673
88,35.05448751040414
89,36.1987979806802
90,34.77070844068928
91,35.96120149404907
92,33.87108378177746
93,35.09399813400405
94,37.06521844629652
95,35.15924466892908
96,37.33328954286222
97,33.72754926938722
98,34.77055914119566
99,35.03100366916208
100,34.71811720578981
101,36.47698909795245
102,34.80883238776684
103,33.28634621068392
104,35.51867658349947
105,36.579704995646935
106,36.20075541006888
107,35.830564748407085
108,32.626917973090336
109,38.26261393453624
110,29.512483834731956
111,28.599350109017045
112,33.95921567899597
113,33.988254960584634
114,37.73166589240032
115,28.333307753966377
116,31.082348868666703
117,32.19455954662505
118,33.89968767782848
119,35.29797656210329
120,39.137523725493296
121,26.677119868465958
122,28.543458147458196
123,31.645721291698997
124,35.94296143761386
125,41.408549363061574
126,37.24465953910508
127,33.89012392954542
128,35.07805733617204
129,30.596702882289925
130,36.99595972564926
131,34.27466966315508
132,32.33676645208679
133,38.2961957715521
134,31.684984030482184
135,30.33961736548825
136,32.7249906763049
137,34.29926916261591
138,42.02249482289133
139,31.313236943847446
140,31.460040307975778
141,33.073153700053965
142,35.76630394587676
143,42.209740054037354
144,38.12677692205724
145,34.35461672288995
146,25.341990140222347
147,33.51726074588645
148,34.1640828043436
149,37.62995169347905
150,38.99763724402345
151,31.3474282630065
152,38.67257048218901
153,38.11912875910886
154,23.3246241062857
155,18.39809383706842
156,39.341296233727796
157,28.820632275837077
158,31.81066084295459
159,32.82417406486578
160,35.702912254935534
161,34.67624724652125
162,19.61551178028852
163,31.35425469696392
164,35.720636729621944
165,35.05385986846826
166,37.761385046317876
167,19.574988078088662
168,37.81119004010115
169,31.221508527071343
170,27.72540512764184
171,39.067533429532425
172,36.9146678596934
173,30.596082111919703
174,33.392609941675836
175,27.758649817010543
176,35.53373006991341
177,31.294651356671
178,49.082275108639166
179,27.643064373432313
180,42.34876566944295
181,29.55614749724641
182,38.883787115164026
183,35.2139453246381
184,34.940151436439024
185,36.37473756205075
186,24.444599324266196
187,35.29615806220668
188,37.90449555756941
189,37.37580463233588
190,39.405763527287874
191,39.185680980284076
192,32.395796953526485
193,35.83812536730215
194,40.420064042659845
195,34.09370972003271
196,36.68152543714477
197,37.77227923978854
198,33.20244626941657
199,36.108083714255216
200,36.97967234980023
201,38.17598684558487
202,30.009970520677708
203,42.080454460191575
204,30.3300475905735
205,33.21574597268683
206,43.00960398657402
207,28.106625332475087
208,39.86869746823226
209,33.843929730255056
210,35.433218692419956
211,36.413784467070265
212,25.176491584760864
213,32.185915620122124
214,36.68452984144429
215,39.25220347625481
216,38.89266259234948
217,40.15499082869835
218,29.549142819958288
219,32.63667471468529
220,35.3500334932038
221,37.98832088568405
222,37.860312989603564
223,38.15820262152655
224,31.796430065970352
225,34.7496984997469
226,33.21075534290263
227,40.9702938736333
228,31.93910853462238
229,38.25400167074626
230,32.94609144698676
231,21.451226749605475
232,42.34997918543688
233,29.15915340566054
234,35.400341706416015
235,36.59823486877261
236,33.97445970334123
237,36.84451320876708
238,22.65710841922066
239,33.36264229830491
240,35.75975497640466
241,37.64012259661056
242,38.63369339926603
243,41.4319449505293
244,34.80587801926922
245,33.06155185428933
246,32.36322143542557
247,34.41800000000005
248,38.13137932436606
249,38.35896160129798
250,32.60158329376333
251,36.570865058058345
252,31.10628393790509
253,36.098939114635726
254,33.541136755782624
255,26.854344956130184
256,45.12991738960626
257,42.48708682655895
258,32.302036845385786
259,26.839474320583193
260,37.8158664749079
261,36.97328435329007
262,41.45811972518858
263,24.25572691839315
264,38.76005948881081
265,37.07903005976153
266,40.1848560605571
267,37.21135844319684
268,41.51426914316525
269,32.938632030541754
270,37.40806051775289
271,32.23343217662457
272,44.1097464357145
273,41.98194392639919
274,37.90707555545633
275,30.455803688128597
276,38.555735622471964
277,34.98244875086239
278,36.66708830241339
279,19.30308669515968
280,31.076959333336163
281,39.69947326234106
282,22.560687698674748
283,25.134727293966968
284,33.91525462470302
285,27.196556466616244
286,32.16515081724469
287,21.99681701931957
288,27.356425174048624
289,33.274371723772894
290,33.95089092955843
291,36.93409744077165
292,33.38206401386951
293,22.672460752956276
294,21.75981512986984
295,31.16303630554163
296,34.371611763351005
297,33.16532362039206
298,33.40083879928525
299,30.502215476864897
300,29.82749876026763
301,31.28250664670674
302,29.88834230339701
303,28.02211125131237
304,33.650490257021495
305,41.35635288319033
306,30.099758553051764
307,34.797215583206416
308,34.41501276968744
309,35.81976942148582
310,37.932638311910296
311,24.997360898020673
312,32.20122157407986
313,37.41309981222135
314,38.10899920726093
315,36.311096640430044
316,39.75150202387031
317,31.7520915670465
318,32.38892787747649
319,36.76978597527328
320,36.50916009036102
321,40.462563764290124
322,37.85790474898658
323,34.3779464359458
324,35.2797405820414
325,32.69968271776869
326,40.387437796012094
327,26.073530103958397
328,34.72208340102627
329,34.113350299115524
330,21.743231502081535
331,39.90401063456593
332,28.757264136970836
333,32.05654473266305
334,30.675334797405654
335,29.890510610196543
336,35.396442044050715
337,38.68265847484594
338,21.76661329282912
339,34.12540549588513
340,34.706145182533966
341,39.318483288516134
342,37.10597759393572
343,36.48194962213745
344,27.887271943296696
345,31.043596002311766
346,38.506284371713924
347,30.462887395817475
348,34.324205347036866
349,39.10401421364474
350,34.08083131501514
351,34.69346043515757
352,32.196766939586944
353,29.90243878772217
354,38.20815471045566
355,37.90409426347418
356,37.12005439158908
357,40.6646052233498
358,26.43263456341193
359,27.905299217578914
360,32.45890737105306
361,35.09778840490217
362,35.39306473662976
363,33.96876714965359
364,31.84304566808331
365,33.702526923095405
366,34.11928567311224
367,33.671002055920276
368,35.29878581779861
369,31.132320007563926
370,29.20098854306618
371,30.713717928573143
372,34.12996993963362
373,35.01981961872978
374,36.83168216660671
375,32.21008788828229
376,36.64380130990574
377,43.71398221411758
378,31.29913309090528
379,33.48776257197555
380,30.320716350882652
381,31.045199143899673
382,43.932342088143876
383,23.593798014751417
