,prediction
0,35.26921
1,41.15765
2,29.350248
3,34.52475
4,34.17382
5,34.975388
6,36.78043
7,25.570076
8,33.698566
9,35.780582
10,37.649418
11,39.15245
12,38.613503
13,34.52794
14,30.734297
15,34.15417
16,35.493553
17,36.361614
18,37.79167
19,28.932005
20,36.4002
21,25.153593
22,33.03874
23,21.271599
24,30.402512
25,30.255724
26,31.55864
27,38.021408
28,27.044685
29,28.324736
30,33.74809
31,31.988312
32,34.333218
33,17.828041
34,31.76528
35,28.957098
36,38.104485
37,37.036667
38,37.421104
39,39.17499
40,30.254013
41,33.096096
42,35.493717
43,34.966537
44,37.084373
45,38.00592
46,32.768986
47,35.498363
48,33.741123
49,36.691715
50,31.507961
51,30.537445
52,32.25351
53,31.683668
54,36.917164
55,33.84909
56,35.13072
57,34.332657
58,32.4769
59,35.993122
60,35.827824
61,35.777477
62,37.315186
63,30.842249
64,35.827824
65,34.513603
66,33.73438
67,37.074745
68,33.49274
69,34.761993
70,36.570152
71,35.493717
72,34.94475
73,33.73344
74,35.431187
75,34.67033
76,36.570152
77,35.15815
78,36.89194
79,34.12562
80,35.85641
81,37.17487
82,36.564453
83,36.390644
84,37.005207
85,36.67816
86,36.723858
87,35.412357
88,34.965622
89,36.10648
90,34.869743
91,36.003315
92,33.84909
93,34.994946
94,37.074745
95,35.293705
96,37.295277
97,33.709457
98,34.773212
99,35.22057
100,34.773212
101,36.49979
102,34.91064
103,33.370632
104,35.54214
105,36.58426
106,36.182804
107,35.926575
108,32.731342
109,38.25051
110,29.580778
111,28.765846
112,33.943134
113,33.853516
114,37.678047
115,28.20248
116,31.102343
117,32.25216
118,33.914295
119,35.43739
120,39.153725
121,26.749037
122,28.508904
123,31.68501
124,36.052086
125,41.52767
126,37.291367
127,34.003815
128,34.984783
129,30.698845
130,36.998714
131,34.037483
132,32.2523
133,38.428017
134,31.704922
135,30.508411
136,32.653435
137,34.167786
138,41.96632
139,31.172356
140,31.500769
141,33.093533
142,35.76674
143,42.235165
144,38.15835
145,34.13462
146,25.443533
147,33.637524
148,34.077618
149,37.480404
150,38.918728
151,31.538338
152,38.739532
153,37.647182
154,23.235683
155,18.578476
156,39.234833
157,28.688517
158,31.92607
159,32.883545
160,35.782425
161,34.679554
162,19.72386
163,31.533667
164,35.701435
165,35.10772
